SuperWEB2(tm)

"Parental Survival"
"Age in completed years by Geography 2016 by Father alive then Mother Alive"
"Counting: Person adjusted"

Filters:
"Default Summation","Person adjusted"

" 0"
"Father alive then Mother Alive","No","No",
"52502017 : Ward 17",114.44882,62.52442,
"52502018 : Ward 18",79.10536,45.4323,
"52502019 : Ward 19",62.79182,37.98592,
"52502020 : Ward 20",65.2883,33.23768,
"52502021 : Ward 21",54.91287,45.08377,
"52502022 : Ward 22",73.59772,40.36004,
"52502023 : Ward 23",70.03654,67.66242,
"52502024 : Ward 24",86.65538,46.29534,
"52502025 : Ward 25",27.02834,7.05639,
"52502026 : Ward 26",111.39658,56.97888,
"52502027 : Ward 27",70.03654,40.36004,
"52502028 : Ward 28",75.97184,53.4177,
"52502029 : Ward 29",92.59068,55.79182,
"52502030 : Ward 30",102.18846,56.53344,
"52502031 : Ward 31",99.2297,52.55466,
"52502032 : Ward 32",102.08208,47.47732,
"52502033 : Ward 33",106.5972,59.5947,
"52502034 : Ward 34",47.3237,26.96678,
"Total",2599.46737,1548.78563,


" 16"
"Father alive then Mother Alive","No","No",
"Geography 2016",
"52502001 : Ward 1",77.41039,43.41853,
"52502002 : Ward 2",9.535,9.57352,
"52502003 : Ward 3",9.99042,2.12109,
"52502004 : Ward 4",19.06492,14.39372,
"52502005 : Ward 5",37.91995,23.77972,
"52502006 : Ward 6",96.05604,56.80178,
"52502007 : Ward 7",97.02262,49.077,
"52502008 : Ward 8",75.97184,58.16594,
"52502009 : Ward 9",88.44486,48.36322,
